SproutN,BunchN,WoodW,SPAD06,NDVI06,SPAD08,NDVI08,Acid,Potass,Brix,pH,Anthoc,Polyph
-0.346,-0.528,-0.617,-0.106,0.051,-0.198,0.045,0.038,-0.001,0.105,-0.038,0.499,0.251
-0.346,-0.528,-0.617,-0.106,0.051,-0.198,0.045,0.038,-0.001,0.105,-0.038,0.499,0.251
-0.346,-0.528,-0.617,-0.106,0.051,-0.198,0.045,0.038,-0.001,0.105,-0.038,0.499,0.251
-0.346,-0.528,-0.617,-0.106,0.051,-0.198,0.045,0.038,-0.001,0.105,-0.038,0.499,0.251
-0.346,-0.528,-0.617,-0.106,0.051,-0.198,0.045,0.038,-0.001,0.105,-0.038,0.499,0.251
-0.346,-0.528,-0.617,-0.106,0.051,-0.198,0.045,0.038,-0.001,0.105,-0.038,0.499,0.251
-0.346,-0.528,-0.617,-0.106,0.051,-0.198,0.045,0.038,-0.001,0.105,-0.038,0.499,0.251
-0.346,-0.528,-0.617,-0.106,0.051,-0.198,0.045,0.038,-0.001,0.105,-0.038,0.499,0.251
-0.346,-0.528,-0.617,-0.106,0.051,-0.198,0.045,0.038,-0.001,0.105,-0.038,0.499,0.251
-0.346,-0.528,-0.617,-0.106,0.051,-0.198,0.045,0.038,-0.001,0.105,-0.038,0.499,0.251
